RxNorm,ATC
1946472,C05AX04
1946474,C05AX04
1946476,C05AX04
1946478,C05AX04
1946479,C05AX04
1946481,C05AX04
1946700,C05AX04
1946701,C05AX04
1946703,C05AX04
19472,C05AX04
19475,C05AX04
19476,C05AX04
19477,C05AX04
1952,C05AX04
198911,C05AX04
1990419,C05AX04
199099,C05AX04
199109,C05AX04
1992,C05AX04
1994528,C05AX04
1994529,C05AX04
1994530,C05AX04
1995137,C05AX04
1995138,C05AX04
1995140,C05AX04
1995141,C05AX04
1995143,C05AX04
1998442,C05AX04
199852,C05AX04
2000537,C05AX04
2000688,C05AX04
2000689,C05AX04
2000690,C05AX04
200088,C05AX04
2003463,C05AX04
2003464,C05AX04
204919,C05AX04
205128,C05AX04
205243,C05AX04
2058531,C05AX04
20823,C05AX04
20877,C05AX04
209979,C05AX04
2106102,C05AX04
2106103,C05AX04
2106106,C05AX04
2106107,C05AX04
21116,C05AX04
2117972,C05AX04
2117974,C05AX04
2117976,C05AX04
21183,C05AX04
2119082,C05AX04
2119083,C05AX04
2119812,C05AX04
2119813,C05AX04
2119814,C05AX04
211988,C05AX04
2122108,C05AX04
2122109,C05AX04
2122110,C05AX04
2122111,C05AX04
2122112,C05AX04
2122114,C05AX04
2122537,C05AX04
2122538,C05AX04
2122540,C05AX04
2122541,C05AX04
2122543,C05AX04
2123045,C05AX04
212706,C05AX04
2129,C05AX04
213244,C05AX04
21389,C05AX04
215648,C05AX04
21579,C05AX04
2175696,C05AX04
2175697,C05AX04
221024,C05AX04
2267205,C05AX04
2267206,C05AX04
22701,C05AX04
2280728,C05AX04
2280729,C05AX04
22906,C05AX04
2296,C05AX04
235535,C05AX04
2358,C05AX04
236388,C05AX04
236881,C05AX04
236964,C05AX04
236982,C05AX04
238405,C05AX04
2396039,C05AX04
2396040,C05AX04
2396041,C05AX04
2399,C05AX04
2407,C05AX04
2418,C05AX04
2438,C05AX04
244543,C05AX04
244636,C05AX04
244637,C05AX04
244638,C05AX04
245223,C05AX04
245224,C05AX04
245660,C05AX04
245661,C05AX04
245662,C05AX04
245663,C05AX04
245664,C05AX04
247432,C05AX04
