RxNorm,UMLS
238153,C3540784
208646,C0003289
208645,C0003289
1432125,C3653572
1114110,C0002772
1432121,C3653572
1432122,C3653572
242800,C3653944
1919512,C3539171
242807,C1744619
1292879,C3542964
1292877,C3653798
1292874,C3653798
1292875,C3653798
1869698,C3653756
372943,C0003289
372941,C3653594
886638,C0002092
402422,C3653501
372946,C3653706
372945,C3653768
402421,C3653532
372949,C0040615
886637,C0002092
751890,C3653707
315971,C1563714
315970,C1563714
315972,C3653659
315975,C3653335
315974,C3653501
315976,C3653773
315979,C3653824
1790124,C0003299
1790127,C3653597
1790126,C0003299
1790121,C0003299
1790123,C0003299
1790122,C0003299
375626,C0001551
1739538,C3653944
1807551,C3653489
1790128,C3653597
1807552,C3653489
371838,C0002772
360559,C3653843
360557,C3653843
6472,C3653773
6470,C3653700
360553,C3653756
6475,C3653700
2270607,C0004632
378398,C3653942
371833,C0007158
1649586,C3653824
27403,C0724804
374353,C3653489
1670043,C3653335
1307743,C3653756
1307745,C0002092
1307744,C3653756
1307746,C0002092
1307749,C3653756
1307748,C3653756
1927852,C1704311
571752,C3540784
1663410,C3653284
750099,C3653755
904534,C3653595
1000123,C3540745
4040,C3653737
1000124,C3540745
1000127,C3540745
1000126,C3540745
1000128,C3540745
706870,C3540714
706871,C3540714
706872,C3540714
1094054,C3653763
372212,C3653762
1551468,C3653760
1551466,C3653760
1551463,C3653760
1551462,C3653760
310228,C3653707
358274,C3539170
1363831,C3653756
330905,C3540784
1297965,C3653741
392197,C3653741
1297960,C3653741
1545716,C3653284
200079,C3653622
375419,C3653798
200076,C3540023
1726679,C3653763
1094891,C3653798
995116,C0002772
248642,C0003289
379421,C0040616
379423,C3653741
379422,C3540784
379425,C3653741
379426,C0471863
362309,C3540732
362300,C3540732
362301,C3540732
362302,C3540732
362305,C3653671
2362254,C3653284
2362257,C3653284
2362250,C3653660
2362253,C3653284
351433,C3653495
631980,C3540784
118886,C3653514
1536924,C3653285
1536923,C3653285
1536922,C3653914
321988,C0003289
1592785,C3653942
1592786,C3653942
860088,C0355614
421926,C0003289
2371780,C3653813
1427022,C0042742
574313,C3654040
2200083,C3653336
2200082,C3653741
2200084,C3653336
865101,C3653773
865105,C3653741
1300006,C3653732
1300005,C3653732
28012,C3653763
746126,C3653285
1940369,C3539171
826615,C3653813
826614,C3653494
826613,C3653494
826612,C3653494
826611,C3653494
977873,C0002772
1358496,C0002934
977875,C0002772
252016,C0021027
643722,C0021081
800783,C3654018
1042785,C0471863
800782,C3654018
1809516,C0021027
1809514,C0021027
1809513,C0021027
1809511,C0021027
376784,C3653767
385025,C3653756
