RxNorm,UMLS
323828,C1101751
373014,C1247075
1247453,C0709967
1247450,C3267904
316619,C0989581
316618,C0989580
316613,C0989569
316615,C0989573
316614,C0989572
316617,C0989579
316616,C0989578
629026,C1702432
629024,C1698401
151313,C0591050
1181415,C3235254
2105926,C4741409
1181416,C3235255
1181413,C3235252
1372872,C3538456
1305100,C3486084
259525,C0873198
1372871,C3538455
151317,C0591054
1372870,C3538454
2122639,C4765616
2122638,C4765615
1012528,C2938595
1012529,C2938596
1012526,C2938593
1012527,C2938594
1012524,C2938591
1012525,C2938592
2122635,C4761347
1012523,C2938590
2122637,C4765614
2122636,C4765613
1596947,C1878673
1596946,C3865030
1596945,C1879228
834159,C2608968
864645,C2722650
1154265,C3208737
834152,C0975529
834151,C2608964
834150,C0713410
834156,C0714649
834155,C2608966
242438,C0780894
543873,C1588925
543872,C1588924
213182,C0716174
543879,C1586060
543878,C1588927
1720000,C4058068
1602569,C3883485
1602568,C3883461
1602567,C3883602
1602561,C3882835
1602560,C3883549
13982,C0046882
1798369,C4271762
1798368,C4271763
1798363,C4271813
1798362,C4271829
569069,C1603277
1798360,C4271803
1798367,C4271706
1798366,C4271666
1798365,C4271005
1798364,C4256296
318076,C0994837
1155166,C3209624
1006659,C2927725
818865,C2057737
316520,C0988890
312615,C0979757
312614,C0979755
312617,C0989249
1372538,C0040077
1372539,C0018321
406017,C1331250
406016,C1331249
406015,C1331248
2099999,C4734325
2099998,C4734324
1001001,C2926732
17354,C0051209
2099993,C4734321
1001002,C0712524
2099995,C4688747
1001004,C1358617
2099997,C4734323
1001006,C1615916
374113,C1248186
1801233,C4271822
364904,C1238855
364901,C1238852
539807,C1601335
539806,C1601334
539809,C1584825
539808,C1601336
364908,C1238859
998473,C2920563
998479,C0708637
581417,C1614902
581416,C1617306
581411,C1618331
581413,C1615453
581412,C1617816
1157360,C3211783
1157361,C3211784
1157362,C3211785
1157363,C3211786
1157364,C3211787
153101,C0593762
1157366,C3211789
250816,C0792771
2199391,C3640098
2199392,C5207659
20861,C0055445
20863,C0055447
1550945,C3858237
1550944,C3858238
1550947,C3857810
1550946,C3857811
1550941,C3858047
1550940,C3857812
1550943,C3858190
1550942,C3858154
